scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
grype,docker.io+python@sha256_5e96e03a493a54904aa8be573fc0414431afb4f47ac58fbffd03b2a725005364,171,6,0.9661016949152542,177,6,171,3,6,90,263
grype,docker.io+rockylinux@sha256_72afc2e1a20c9ddf56a81c51148ebcbe927c0a879849efe813bee77d69df1dd8,202,10,0.9528301886792453,212,14,202,4,10,269,472
grype,docker.io+sonatype+nexus3@sha256_e8fea6b4279f2b5b24b36170459cb7aa3d6afe999f9d3e3713541be28bae8ec4,241,43,0.8485915492957746,284,25,241,7,43,577,818
grype,docker.io+ubuntu@sha256_09f035f46361d193ded647342903b413d57d05cc06acff8285f9dda9f2d269d5,1,0,1.0,1,0,1,0,0,21,22
grype,docker.io+ubuntu@sha256_9d42d0e3e57bc067d10a75ee33bdd1a5298e95e5fc3c5d1fce98b455cb879249,13,0,1.0,13,0,13,0,0,53,66
grype,registry.access.redhat.com+ubi8@sha256_68fecea0d255ee253acbf0c860eaebb7017ef5ef007c25bee9eeffd29ce85b29,111,10,0.9173553719008265,121,15,111,3,10,289,400
snyk,docker.io+almalinux@sha256_cd49d7250ed7bb194d502d8a3e50bd775055ca275d1d9c2785aea72b890afe6a,85,134,0.3881278538812785,219,14,85,3,134,120,205
snyk,docker.io+amazonlinux@sha256_1301cc9f889f21dc45733df9e58034ac1c318202b4b0f0a08d88b3fdc03004de,0,0,0.0,0,0,0,0,0,344,344
snyk,docker.io+anchore+test_images@sha256_01c78cee3fe398bf1f77566177770b07f1d2af01753c2434cb0735bd43a078b6,13,4,0.7647058823529411,17,11,13,0,4,1,14
snyk,docker.io+anchore+test_images@sha256_0825acea611c7c5cc792bc7cc20de44d7413fd287dc5afc4aab9c1891d037b4f,0,16,0.0,16,25,0,1,16,0,1
snyk,docker.io+anchore+test_images@sha256_08dbfad2d6af9afe47f7647b0b8f38fd29fc9e89306cfc39c9509981f9388b7f,6,1,0.8571428571428571,7,2,6,0,1,139,145
snyk,docker.io+anchore+test_images@sha256_10008791acbc5866de04108746a02a0c4029ce3a4400a9b3dad45d7f2245f9da,14,53,0.208955223880597,67,31,14,12,53,8,22
